f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
1,1,1,0,0,0,0,1,1,1,1
2,15,1,75,15,1,2.3,73,65,56,4
3,15,2,18,7,0.7,1.3,13,95,86,4
4,15,3,46,11,0.5,1,69,50,39,4
5,15,3,16,8,0.5,1.2,13,0,86,4
6,15,4,56,16,0.5,1,55,50,35,4
7,15,5,77,18,0.5,0.7,74,66,55,4
8,15,6,6,5,0.5,0.9,99,95,86,4
9,15,6,84,17,1.2,2.8,71,71,58,4
10,15,6,41,11,0.7,1.3,49,40,35,4
11,15,7,1,3,0.3,0.5,99,95,86,4
12,15,7,1,3,0.2,0.6,99,95,86,4
13,15,7,4,5,0.5,0.7,99,95,86,4
14,15,7,16,8,0.7,1.2,8,1,86,4
15,15,7,3,4,0.5,1,99,95,86,4
16,15,7,21,10,0.5,0.8,33,25,12,4
17,15,8,46,16,0.5,1.5,32,16,26,4
18,15,8,47,16,0.5,0.7,48,45,45,4
19,41,1,9,5,1.2,2.2,99,95,86,4
20,41,1,20,7,0.6,3,2,95,86,4
21,41,1,47,13,0.5,2.4,45,54,79,4
22,41,1,4,4,0.4,2,99,95,86,4
23,41,1,5,5,0.2,1.2,99,95,86,4
24,41,2,134,16,7.3,9.2,96,91,84,4
25,41,3,42,8,0.5,4.8,54,25,86,4
26,41,3,22,7,0.8,4.1,6,95,86,4
27,41,3,25,7,0.6,3.7,1,95,86,4
28,41,3,1,3,0.3,0.7,99,95,86,4
29,41,3,1,2,0.5,0.7,99,95,86,4
30,41,3,17,9,2.1,2.2,10,4,0,4
31,41,3,46,12,1,3,58,36,45,4
32,41,3,1,2,0.5,0.5,99,95,86,4
33,41,3,1,2,0.4,0.5,99,95,86,4
34,41,3,21,8,0.5,2.6,13,1,86,4
35,41,3,1,2,0.5,0.5,99,95,86,4
36,41,3,5,4,0.7,1.5,99,95,86,4
37,41,4,1,2,0.2,0.5,99,95,86,4
38,41,4,6,5,0.2,1.4,99,95,86,4
39,41,4,37,11,0.6,3.2,32,32,32,4
40,41,4,63,15,1.8,6.6,40,34,34,4
41,41,5,25,8,1,4.5,29,7,86,4
42,41,6,3,5,0.2,1,99,95,86,4
43,41,6,28,11,0.5,2.5,44,48,45,4
44,41,6,3,4,0.5,1.2,99,95,86,4
45,41,6,20,9,0.4,2.7,38,14,0,4
46,41,6,20,7,0.3,1.7,1,95,86,4
47,41,6,8,7,0.5,1,2,95,86,4
48,41,6,25,9,0.4,1.7,29,26,1,4
49,41,6,12,6,0.3,2.1,99,95,86,4
50,41,6,32,12,0.2,1.1,51,57,62,4
51,41,6,8,5,0.6,2,99,95,86,4
52,41,6,39,13,0.5,1,47,43,45,4
53,41,6,7,5,0.3,2,99,95,86,4
54,41,6,57,12,0.5,2.1,91,71,50,4
55,41,6,28,9,0.3,1.8,49,36,4,4
56,41,6,17,8,0.4,1.2,48,13,86,4
57,41,6,10,6,0.5,2.1,99,95,86,4
58,41,6,2,4,0.3,0.8,99,95,86,4
59,41,6,18,8,0.5,1.8,29,4,86,4
60,41,6,4,5,0.2,1,99,95,86,4
61,41,6,53,11,0.3,1.3,71,70,61,4
62,41,6,6,6,0.5,0.8,99,95,86,4
63,43,1,1,2,0.2,0.4,99,95,86,4
64,43,1,0,2,0.2,0.3,99,95,86,4
